Name,Quantity,RefDef,Value
CAP_0603,2,"C3, C4",18pF
CAP_0603,1,C9,47nF
CAP_0603,1,C12,10nF
CAP_0603,4,"C1, C13, C14, C15",100nF
CAP_0805,1,C10,4.7uF
CAP_0805,4,"C5, C7, C8, C11",10uF
CAP_0805,1,C6,1uF
CAP Radial Right Angle 10x16x5,1,C16,1000uF
LED,1,D1,3mm blue
1N4148W SOD-123,1,D2,
Mini USB Throughole,1,J1,
RF Reciever connection,1,J3,
3 pin 2.54mm Right Angle Term Block,1,J4,
Li-ion CON,1,J5,
JST ZH 6 Pin,2,J7,
JST ZH 4 Pin,2,J8,
JST ZH 3 Pin,1,"J2, J6",
PA4333.102NLT? Inductor,1,L1,"1uH, 8.7mR"
PB-1224PE-05Q,1,LS1,
IRL540,1,Q1,
2N7002 N-Channel MOSFET,2,"Q2, Q3",
RES_0603,8,"R1, R2, R4, R5, R6, R8, R9, R10",10k
RES_0603,1,R7,1k
RES_0603,1,R3,220R
RES_0603,1,R11,5.23k
RES_0603,1,R12,28.7k
SPDT switch,1,SW1,
ATMEGA328_TQFP32,1,U1,
CH340G (SOP),1,U2,
BQ25890,1,U3,
TC26H,1,Y1,32.768KHz